Syscall,Sentence,FirstLine,Synonym,SynonymSentence
close(),close a file descriptor,"<close,file descriptor>","<free,resources>",the resources associated with the open file description are freed
lseek(),reposition read/write file offset,"<reposition,file offset>","<,>",
execve(),execute program,"<execute,program>","<,>",
exec(),executes the program referred to by pathname,"<execute,program>","<replace,process image>",replaces the current process image with a new process image.
clone(),create a child process,"<create,child process>","<,>",
fork(),create a child process,"<create,child process>","<,>",
vfork(),create a child process and block parent,"<create,child process>","<,>",
vfork(),create a child process and block parent,"<block,parent>","<,>",
kill(),send signal to a process,"<send signal,process>","<,>",
exit_group(),exit all threads in a process,"<exit,all threads in a process>","<,>",
ptrace(),process trace,"<trace,process>","<observe,execution of another process>|<control,execution of another process>|<examine,memory and registers.>|<change,memory and registers.>","provides a means by which one process (the ""tracer"") may observe and control the execution of another process|provides a means by which one process (the ""tracer"") may observe and control the execution of another process|examine and change the tracee's memory and registers.|examine and change the tracee's memory and registers."
shmdt(),XSI shared memory detach operation,"<detach,shared memory>","<,>",
shmat(),XSI shared memory attach operation,"<attach,shared memory>","<,>",
shmget(),allocates a System V shared memory segment,"<allocate,shared memory>","<,>",
waitpid(),wait for a child process to stop or terminate,"<wait for,process>","<,>",
wait4(),"wait for process to change state, BSD style","<wait for,process>","<,>",
mremap(),remap a virtual memory address,"<remap,memory>","<expand,memory>",expands an existing memory mapping
mprotect(),set protection on a region of memory,"<set,region of memory>","<,>",
set_tid_address(),set pointer to thread ID,"<set,pointer to thread ID>","<,>",
arch_prctl(),set architecture-specific thread state,"<set,thread state>","<,>",
set_thread_area(),set a thread local storage (TLS) area,"<set,thread local storage area>","<,>",
nanosleep(),high-resolution sleep,"<sleep,>","<suspend,execution>",suspends the execution
set_robust_list(),set list of robust futexes,"<set,futexes>","<,>",
futex(),"fast user-space locking","<lock,>","<wait,condition>|<wake,processes or threads>",waiting until a certain condition becomes true|can be used to wake any processes or threads
brk(),change data segment size,"<change,data segment size>","<set,end of data segment>",sets the end of the data segment to the value
ioctl(),control device,"<control,device>","<manipulate,device parameters>",manipulates the underlying device parameters of special files.
setsid(),creates a session and sets the process group ID,"<set,process group ID>","<,>",
setsid(),creates a session and sets the process group ID,"<create,session>","<,>",
getppid(),get process identification,"<get,process identification>","<,>",
getpid(),get process identification,"<get,process identification>","<,>",
getgid(),get group identity,"<get,group identity>","<,>",
getegid(),get group identity,"<get,group identity>","<,>",
geteuid(),get user identity,"<get,user identity>","<,>",
getuid(),get user identity,"<get,user identity>","<,>",
settimeofday(),get / set time,"<set,time>","<,>",
time(),get time in seconds,"<get,time>","<,>",
gettimeofday(),get / set time,"<get,time>","<,>",
prlimit64(),get/set resource limits,"<get,resource limits>","<,>",
getrlimit(),get/set resource limits,"<get,resource limits>","<,>",
ugetrlimit(),get/set resource limits,"<get,resource limits>","<,>",
sysinfo(),return system information,"<return,system statistics>","<,>",
uname(),get name and information about current kernel,"<get,name and information about current kernel>","<,>",
connect(),initiate a connection on a socket,"<initiate,connection on a socket>","<connect,socket>",connects the socket
pipe(),create pipe,"<create,pipe>","<,>",
bind(),bind a name to a socket,"<bind,name to socket>","<assign,address>",assigns the address specified by addr to the socket
socket(),create an endpoint for communication,"<create,endpoint for communication>","<,>",
setsockopt(),get and set options on sockets,"<set,options on sockets>","<manipulate,options>",manipulate options for the socket
getsockopt(),get and set options on sockets,"<get,options on sockets>","<manipulate,options>",manipulate options for the socket
getsockname(),get socket name,"<get,socket name>","<,>",
recv(),receive a message from a socket,"<receive,message from socket>","<,>",
recvmsg(),receive a message from a socket,"<receive,message from socket>","<,>",
recvfrom(),receive a message from a socket,"<receive,message from socket>","<,>",
send(),send a message on a socket,"<send,message on socket>","<,>",
sendto(),send a message on a socket,"<send,message on socket>","<,>",
sendmsg(),send a message on a socket,"<send,message on socket>","<,>",
